sample_id	batch_id	green_idat	red_idat
NA12878-	GSAv2	203533890075_R01C01_Grn.idat.gz	203533890075_R01C01_Red.idat.gz
203533890075_R01C02	GSAv2	203533890075_R01C02_Grn.idat.gz	203533890075_R01C02_Red.idat.gz
8033684080-C	GSAv2	203533890075_R02C01_Grn.idat.gz	203533890075_R02C01_Red.idat.gz
203533890075_R02C02	GSAv2	203533890075_R02C02_Grn.idat.gz	203533890075_R02C02_Red.idat.gz
8037702308-H	GSAv2	203533890075_R03C01_Grn.idat.gz	203533890075_R03C01_Red.idat.gz
203533890075_R03C02	GSAv2	203533890075_R03C02_Grn.idat.gz	203533890075_R03C02_Red.idat.gz
8033684095-C	GSAv2	203533890075_R04C01_Grn.idat.gz	203533890075_R04C01_Red.idat.gz
8037737797-H	GSAv2	203533890075_R05C01_Grn.idat.gz	203533890075_R05C01_Red.idat.gz
203533890075_R05C02	GSAv2	203533890075_R05C02_Grn.idat.gz	203533890075_R05C02_Red.idat.gz
8033684116-C	GSAv2	203533890075_R06C01_Grn.idat.gz	203533890075_R06C01_Red.idat.gz
203533890075_R06C02	GSAv2	203533890075_R06C02_Grn.idat.gz	203533890075_R06C02_Red.idat.gz
8033673352-H	GSAv2	203533890075_R07C01_Grn.idat.gz	203533890075_R07C01_Red.idat.gz
203533890075_R07C02	GSAv2	203533890075_R07C02_Grn.idat.gz	203533890075_R07C02_Red.idat.gz
8033684133-C	GSAv2	203533890075_R08C01_Grn.idat.gz	203533890075_R08C01_Red.idat.gz
203533890075_R08C02	GSAv2	203533890075_R08C02_Grn.idat.gz	203533890075_R08C02_Red.idat.gz
8035158042-H	GSAv2	203533890075_R09C01_Grn.idat.gz	203533890075_R09C01_Red.idat.gz
203533890075_R10C02	GSAv2	203533890075_R10C02_Grn.idat.gz	203533890075_R10C02_Red.idat.gz
8033684077-C	GSAv2	203533890075_R11C01_Grn.idat.gz	203533890075_R11C01_Red.idat.gz
203533890075_R11C02	GSAv2	203533890075_R11C02_Grn.idat.gz	203533890075_R11C02_Red.idat.gz
203533890075_R12C01	GSAv2	203533890075_R12C01_Grn.idat.gz	203533890075_R12C01_Red.idat.gz
09C79822-D	GSAv2	203533890075_R12C02_Grn.idat.gz	203533890075_R12C02_Red.idat.gz
